========================================
Neural Network Configuration
========================================
Chargement de 100 échantillons.
Input dimension: 2
Hidden dimension: 10
Output dimension: 2
Epochs: 20000
Training mode: Mini-batch (size=16)
========================================
Mini-batch training: batch_size=16, num_batches=7
Loss après epoch 0: 0.599094
Loss après epoch 100: 0.346753
Loss après epoch 200: 0.328907
Loss après epoch 300: 0.321880
Loss après epoch 400: 0.315711
Loss après epoch 500: 0.308523
Loss après epoch 600: 0.298902
Loss après epoch 700: 0.287232
Loss après epoch 800: 0.273806
Loss après epoch 900: 0.259093
Loss après epoch 1000: 0.243887
Loss après epoch 1100: 0.228968
Loss après epoch 1200: 0.215129
Loss après epoch 1300: 0.202744
Loss après epoch 1400: 0.190681
Loss après epoch 1500: 0.180291
Loss après epoch 1600: 0.171217
Loss après epoch 1700: 0.162851
Loss après epoch 1800: 0.155376
Loss après epoch 1900: 0.148722
Loss après epoch 2000: 0.142726
Loss après epoch 2100: 0.137399
Loss après epoch 2200: 0.132553
Loss après epoch 2300: 0.128385
Loss après epoch 2400: 0.124139
Loss après epoch 2500: 0.120469
Loss après epoch 2600: 0.117520
Loss après epoch 2700: 0.114198
Loss après epoch 2800: 0.111358
Loss après epoch 2900: 0.108747
Loss après epoch 3000: 0.106371
Loss après epoch 3100: 0.104131
Loss après epoch 3200: 0.102103
Loss après epoch 3300: 0.100234
Loss après epoch 3400: 0.098352
Loss après epoch 3500: 0.096963
Loss après epoch 3600: 0.095097
Loss après epoch 3700: 0.093577
Loss après epoch 3800: 0.092234
Loss après epoch 3900: 0.090866
Loss après epoch 4000: 0.089576
Loss après epoch 4100: 0.088445
Loss après epoch 4200: 0.087418
Loss après epoch 4300: 0.086252
Loss après epoch 4400: 0.085396
Loss après epoch 4500: 0.084256
Loss après epoch 4600: 0.083331
Loss après epoch 4700: 0.082474
Loss après epoch 4800: 0.081628
Loss après epoch 4900: 0.080849
Loss après epoch 5000: 0.080391
Loss après epoch 5100: 0.079376
Loss après epoch 5200: 0.078829
Loss après epoch 5300: 0.078135
Loss après epoch 5400: 0.077345
Loss après epoch 5500: 0.076762
Loss après epoch 5600: 0.076182
Loss après epoch 5700: 0.075684
Loss après epoch 5800: 0.075172
Loss après epoch 5900: 0.074593
Loss après epoch 6000: 0.074134
Loss après epoch 6100: 0.073633
Loss après epoch 6200: 0.073195
Loss après epoch 6300: 0.072723
Loss après epoch 6400: 0.072268
Loss après epoch 6500: 0.071867
Loss après epoch 6600: 0.071450
Loss après epoch 6700: 0.071099
Loss après epoch 6800: 0.070854
Loss après epoch 6900: 0.070358
Loss après epoch 7000: 0.070052
Loss après epoch 7100: 0.069676
Loss après epoch 7200: 0.069330
Loss après epoch 7300: 0.068986
Loss après epoch 7400: 0.068755
Loss après epoch 7500: 0.068380
Loss après epoch 7600: 0.068121
Loss après epoch 7700: 0.067800
Loss après epoch 7800: 0.067652
Loss après epoch 7900: 0.067274
Loss après epoch 8000: 0.067012
Loss après epoch 8100: 0.066763
Loss après epoch 8200: 0.066629
Loss après epoch 8300: 0.066287
Loss après epoch 8400: 0.066109
Loss après epoch 8500: 0.065882
Loss après epoch 8600: 0.065672
Loss après epoch 8700: 0.065476
Loss après epoch 8800: 0.065218
Loss après epoch 8900: 0.065089
Loss après epoch 9000: 0.064841
Loss après epoch 9100: 0.064690
Loss après epoch 9200: 0.064596
Loss après epoch 9300: 0.064659
Loss après epoch 9400: 0.064155
Loss après epoch 9500: 0.064002
Loss après epoch 9600: 0.063789
Loss après epoch 9700: 0.063604
Loss après epoch 9800: 0.063433
Loss après epoch 9900: 0.063289
Loss après epoch 10000: 0.063220
Loss après epoch 10100: 0.063015
Loss après epoch 10200: 0.062843
Loss après epoch 10300: 0.062994
Loss après epoch 10400: 0.062615
Loss après epoch 10500: 0.062468
Loss après epoch 10600: 0.062268
Loss après epoch 10700: 0.062341
Loss après epoch 10800: 0.062396
Loss après epoch 10900: 0.061937
Loss après epoch 11000: 0.061803
Loss après epoch 11100: 0.061678
Loss après epoch 11200: 0.061598
