==3982214== Memcheck, a memory error detector
==3982214== Copyright (C) 2002-2022, and GNU GPL'd, by Julian Seward et al.
==3982214== Using Valgrind-3.22.0 and LibVEX; rerun with -h for copyright info
==3982214== Command: ./mlp
==3982214== 
Chargement de 100 échantillons.
Loss après 0 epochs: 0.613666 (epsilon=0.01)
Loss après 1 epochs: 0.608330 (epsilon=0.01)
Loss après 2 epochs: 0.603150 (epsilon=0.01)
Loss après 3 epochs: 0.598119 (epsilon=0.01)
Loss après 4 epochs: 0.593233 (epsilon=0.01)
Loss après 5 epochs: 0.588486 (epsilon=0.01)
Loss après 6 epochs: 0.583874 (epsilon=0.01)
Loss après 7 epochs: 0.579392 (epsilon=0.01)
Loss après 8 epochs: 0.575036 (epsilon=0.01)
Loss après 9 epochs: 0.570800 (epsilon=0.01)
Loss après 10 epochs: 0.566681 (epsilon=0.01)
Loss après 11 epochs: 0.562675 (epsilon=0.01)
Loss après 12 epochs: 0.558778 (epsilon=0.01)
Loss après 13 epochs: 0.554986 (epsilon=0.01)
Loss après 14 epochs: 0.551296 (epsilon=0.01)
Loss après 15 epochs: 0.547704 (epsilon=0.01)
Loss après 16 epochs: 0.544207 (epsilon=0.01)
Loss après 17 epochs: 0.540801 (epsilon=0.01)
Loss après 18 epochs: 0.537484 (epsilon=0.01)
Loss après 19 epochs: 0.534253 (epsilon=0.01)
Loss après 20 epochs: 0.531104 (epsilon=0.01)
Loss après 21 epochs: 0.528035 (epsilon=0.01)
Loss après 22 epochs: 0.525044 (epsilon=0.01)
Loss après 23 epochs: 0.522128 (epsilon=0.01)
Loss après 24 epochs: 0.519284 (epsilon=0.01)
Loss après 25 epochs: 0.516510 (epsilon=0.01)
Loss après 26 epochs: 0.513804 (epsilon=0.01)
Loss après 27 epochs: 0.511163 (epsilon=0.01)
Loss après 28 epochs: 0.508586 (epsilon=0.01)
Loss après 29 epochs: 0.506071 (epsilon=0.01)
Loss après 30 epochs: 0.503615 (epsilon=0.01)
Loss après 31 epochs: 0.501217 (epsilon=0.01)
Loss après 32 epochs: 0.498875 (epsilon=0.01)
Loss après 33 epochs: 0.496587 (epsilon=0.01)
Loss après 34 epochs: 0.494351 (epsilon=0.01)
Loss après 35 epochs: 0.492166 (epsilon=0.01)
Loss après 36 epochs: 0.490031 (epsilon=0.01)
Loss après 37 epochs: 0.487943 (epsilon=0.01)
Loss après 38 epochs: 0.485902 (epsilon=0.01)
Loss après 39 epochs: 0.483906 (epsilon=0.01)
Loss après 40 epochs: 0.481954 (epsilon=0.01)
Loss après 41 epochs: 0.480044 (epsilon=0.01)
Loss après 42 epochs: 0.478175 (epsilon=0.01)
Loss après 43 epochs: 0.476346 (epsilon=0.01)
Loss après 44 epochs: 0.474556 (epsilon=0.01)
Loss après 45 epochs: 0.472803 (epsilon=0.01)
